Velocidade inicial: 143,2536209718307
Ângulo a ser superado: 63,43494882292201
Tempo para atingir o alvo: 24,028111473550904
Atinge o alvo em movimento: DESCENDENTE


Valores de X e Y em metros em cada instante de tempo:

 Tempo |  X  |  Y  
0,00 | 0,00 | 0,00
 Tempo |  X  |  Y  
0,10 | 1,25 | 14,22
 Tempo |  X  |  Y  
0,20 | 2,50 | 28,35
 Tempo |  X  |  Y  
0,30 | 3,75 | 42,37
 Tempo |  X  |  Y  
0,40 | 4,99 | 56,30
 Tempo |  X  |  Y  
0,50 | 6,24 | 70,13
 Tempo |  X  |  Y  
0,60 | 7,49 | 83,86
 Tempo |  X  |  Y  
0,70 | 8,74 | 97,49
 Tempo |  X  |  Y  
0,80 | 9,99 | 111,03
 Tempo |  X  |  Y  
0,90 | 11,24 | 124,47
 Tempo |  X  |  Y  
1,00 | 12,49 | 137,81
 Tempo |  X  |  Y  
1,10 | 13,73 | 151,05
 Tempo |  X  |  Y  
1,20 | 14,98 | 164,19
 Tempo |  X  |  Y  
1,30 | 16,23 | 177,24
 Tempo |  X  |  Y  
1,40 | 17,48 | 190,19
 Tempo |  X  |  Y  
1,50 | 18,73 | 203,04
 Tempo |  X  |  Y  
1,60 | 19,98 | 215,79
 Tempo |  X  |  Y  
1,70 | 21,23 | 228,44
 Tempo |  X  |  Y  
1,80 | 22,47 | 241,00
 Tempo |  X  |  Y  
1,90 | 23,72 | 253,46
 Tempo |  X  |  Y  
2,00 | 24,97 | 265,82
 Tempo |  X  |  Y  
2,10 | 26,22 | 278,08
 Tempo |  X  |  Y  
2,20 | 27,47 | 290,24
 Tempo |  X  |  Y  
2,30 | 28,72 | 302,31
 Tempo |  X  |  Y  
2,40 | 29,96 | 314,28
 Tempo |  X  |  Y  
2,50 | 31,21 | 326,15
 Tempo |  X  |  Y  
2,60 | 32,46 | 337,92
 Tempo |  X  |  Y  
2,70 | 33,71 | 349,59
 Tempo |  X  |  Y  
2,80 | 34,96 | 361,17
 Tempo |  X  |  Y  
